weight_set,weights,thresholds,leak_rate,refractory,dm,overall,TP_N,TP_S,TP_V,TP_F,TP_Q
from_file,23|23|30|19|-3|6|6|-31|13|-3,100|100|100|100|100,8,2,12,0.3878,0.4127,0.0000,0.2043,0.9124,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,100|100|100|100|100,12,2,12,0.3837,0.4079,0.0000,0.2071,0.9175,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,100|100|100|100|100,16,2,12,0.3827,0.4066,0.0000,0.2087,0.9175,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,100|100|100|100|100,20,2,12,0.3833,0.4073,0.0000,0.2084,0.9175,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,110|110|110|110|110,2,2,12,0.3269,0.3394,0.0000,0.2724,0.9072,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,110|110|110|110|110,4,2,12,0.3487,0.3639,0.0000,0.2730,0.9021,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,110|110|110|110|110,8,2,12,0.3549,0.3708,0.0000,0.2720,0.9046,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,110|110|110|110|110,12,2,12,0.3511,0.3663,0.0000,0.2767,0.9021,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,110|110|110|110|110,16,2,12,0.3777,0.3982,0.0000,0.2503,0.8995,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,110|110|110|110|110,20,2,12,0.3842,0.4057,0.0000,0.2488,0.8943,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,120|120|120|120|120,2,2,12,0.3681,0.3880,0.0000,0.2388,0.9227,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,120|120|120|120|120,4,2,12,0.3696,0.3890,0.0000,0.2472,0.9304,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,120|120|120|120|120,8,2,12,0.3641,0.3822,0.0000,0.2571,0.9253,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,120|120|120|120|120,12,2,12,0.2355,0.2058,0.0000,0.7379,0.5722,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,120|120|120|120|120,16,2,12,0.2185,0.1859,0.0000,0.7503,0.5670,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,120|120|120|120|120,20,2,12,0.2175,0.1841,0.0000,0.7587,0.5644,0.0000
