weight_set,weights,thresholds,leak_rate,refractory,dm,overall,TP_N,TP_S,TP_V,TP_F,TP_Q
from_file,2|0|-12|-5|-31|7|8|10|9|8,150|150|150|150|150,20,2,12,0.5642,0.627,0.0076,0.0876,0,0.4286
from_file,2|0|-12|-5|-31|7|8|10|9|8,5|5|5|5|5,2,2,12,0.8903,1.0000,0.0000,0.0000,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,5|5|5|5|5,4,2,12,0.8903,1.0000,0.0000,0.0000,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,5|5|5|5|5,8,2,12,0.8903,1.0000,0.0000,0.0000,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,5|5|5|5|5,12,2,12,0.8903,1.0000,0.0000,0.0000,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,5|5|5|5|5,16,2,12,0.8903,1.0000,0.0000,0.0000,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,5|5|5|5|5,20,2,12,0.8903,1.0000,0.0000,0.0000,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,10|10|10|10|10,2,2,12,0.8696,0.9767,0.0000,0.0003,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,10|10|10|10|10,4,2,12,0.8254,0.9263,0.0000,0.0112,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,10|10|10|10|10,8,2,12,0.8027,0.8999,0.0000,0.0236,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,10|10|10|10|10,12,2,12,0.8024,0.8997,0.0000,0.0217,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,10|10|10|10|10,16,2,12,0.8010,0.8984,0.0000,0.0186,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,10|10|10|10|10,20,2,12,0.8009,0.8981,0.0000,0.0196,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,15|15|15|15|15,2,2,12,0.6011,0.6641,0.1290,0.0798,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,15|15|15|15|15,4,2,12,0.6517,0.7223,0.1312,0.0599,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,15|15|15|15|15,8,2,12,0.6957,0.7732,0.1165,0.0453,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,15|15|15|15|15,12,2,12,0.7278,0.8118,0.0887,0.0280,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,15|15|15|15|15,16,2,12,0.7433,0.8299,0.0762,0.0255,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,15|15|15|15|15,20,2,12,0.7480,0.8355,0.0719,0.0224,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,20|20|20|20|20,2,2,12,0.8388,0.9402,0.0446,0.0012,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,20|20|20|20|20,4,2,12,0.8827,0.9911,0.0033,0.0028,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,20|20|20|20|20,8,2,12,0.8767,0.9845,0.0005,0.0028,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,20|20|20|20|20,12,2,12,0.8638,0.9695,0.0000,0.0099,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,20|20|20|20|20,16,2,12,0.8595,0.9646,0.0000,0.0124,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,20|20|20|20|20,20,2,12,0.8533,0.9571,0.0000,0.0189,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,25|25|25|25|25,2,2,12,0.8200,0.9112,0.0049,0.1326,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,25|25|25|25|25,4,2,12,0.8483,0.9477,0.0000,0.0714,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,25|25|25|25|25,8,2,12,0.8518,0.9517,0.0000,0.0689,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,25|25|25|25|25,12,2,12,0.8551,0.9562,0.0000,0.0590,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,25|25|25|25|25,16,2,12,0.8549,0.9563,0.0000,0.0543,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,25|25|25|25|25,20,2,12,0.8566,0.9582,0.0000,0.0543,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,30|30|30|30|30,2,2,12,0.7951,0.8875,0.0229,0.0624,0.0000,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,30|30|30|30|30,4,2,12,0.8129,0.9073,0.0713,0.0379,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,30|30|30|30|30,8,2,12,0.6859,0.7541,0.0593,0.1894,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,30|30|30|30|30,12,2,12,0.6995,0.7692,0.0250,0.2121,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,30|30|30|30|30,16,2,12,0.7000,0.7685,0.0223,0.2307,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,30|30|30|30|30,20,2,12,0.6988,0.7661,0.0207,0.2469,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,35|35|35|35|35,2,2,12,0.6554,0.7124,0.0278,0.3099,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,35|35|35|35|35,4,2,12,0.6723,0.7305,0.0142,0.3301,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,35|35|35|35|35,8,2,12,0.7063,0.7715,0.0093,0.2938,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,35|35|35|35|35,12,2,12,0.8640,0.9668,0.0000,0.0494,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,35|35|35|35|35,16,2,12,0.8701,0.9710,0.0000,0.0866,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,35|35|35|35|35,20,2,12,0.8733,0.9748,0.0000,0.0839,0.0000,0.0000
from_file,2|0|-12|-5|-31|7|8|10|9|8,40|40|40|40|40,2,2,12,0.7440,0.8109,0.0218,0.3273,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,40|40|40|40|40,4,2,12,0.8516,0.9492,0.0022,0.0994,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,40|40|40|40|40,8,2,12,0.7324,0.7945,0.0011,0.3845,0.0000,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,40|40|40|40|40,12,2,12,0.7436,0.8146,0.0038,0.2820,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,40|40|40|40|40,16,2,12,0.7144,0.7817,0.0098,0.2786,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,40|40|40|40|40,20,2,12,0.7014,0.7687,0.0098,0.2565,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,45|45|45|45|45,2,2,12,0.7055,0.7643,0.0169,0.3767,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,45|45|45|45|45,4,2,12,0.7350,0.8047,0.0201,0.2755,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,45|45|45|45|45,8,2,12,0.7656,0.8403,0.0103,0.2640,0.0000,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,45|45|45|45|45,12,2,12,0.7722,0.8490,0.0060,0.2472,0.0000,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,45|45|45|45|45,16,2,12,0.7735,0.8509,0.0087,0.2419,0.0000,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,45|45|45|45|45,20,2,12,0.7774,0.8555,0.0082,0.2382,0.0000,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|50|50|50|50,2,2,12,0.7269,0.7997,0.0299,0.2127,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|50|50|50|50,4,2,12,0.7864,0.8684,0.0185,0.1941,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|50|50|50|50,8,2,12,0.8147,0.9025,0.0087,0.1668,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|50|50|50|50,12,2,12,0.7033,0.7460,0.0016,0.6022,0.0000,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|50|50|50|50,16,2,12,0.6845,0.7245,0.0005,0.6090,0.0000,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|50|50|50|50,20,2,12,0.6760,0.7150,0.0000,0.6081,0.0000,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|40|50|30|50,12,2,12,0.5364,0.5928,0.0615,0.0031,0.7887,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|40|50|40|50,12,2,12,0.5722,0.6292,0.2602,0.0366,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|40|50|60|50,12,2,12,0.5482,0.6018,0.2831,0.0295,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|40|50|70|50,12,2,12,0.5482,0.6018,0.2831,0.0295,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|40|50|80|50,12,2,12,0.5482,0.6018,0.2831,0.0295,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|40|50|90|50,12,2,12,0.5482,0.6018,0.2831,0.0295,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|40|10|30|50,12,2,12,0.1065,0.0467,0.0022,0.9997,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|40|20|30|50,12,2,12,0.2403,0.1973,0.0109,0.9913,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|40|30|30|50,12,2,12,0.3832,0.3614,0.0234,0.9342,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|40|40|30|50,12,2,12,0.6154,0.6658,0.0593,0.3146,0.0026,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|40|50|30|50,12,2,12,0.5364,0.5928,0.0615,0.0031,0.7887,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|40|60|30|50,12,2,12,0.5336,0.5897,0.0610,0.0000,0.8119,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|10|40|30|50,12,2,12,0.0370,0.0000,1.0000,0.0000,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|20|40|30|50,12,2,12,0.0373,0.0004,0.9995,0.0000,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|30|40|30|50,12,2,12,0.1162,0.0987,0.7316,0.0186,0.0000,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|40|40|30|50,12,2,12,0.6154,0.6658,0.0593,0.3146,0.0026,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|50|40|30|50,12,2,12,0.4937,0.5104,0.0000,0.6043,0.0129,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|60|40|30|50,12,2,12,0.4933,0.5100,0.0000,0.6043,0.0129,0.2857
from_file,1|1|1|1|-21|0|0|1|1|-31,50|10|50|50|50,12,2,12,0.2796,0.2792,0.8361,0.0012,0.0000,0.0000
from_file,1|1|1|1|-21|0|0|1|1|-31,50|20|50|50|50,12,2,12,0.6845,0.7489,0.0550,0.2425,0.0000,0.0000
from_file,1|1|1|1|-21|0|0|1|1|-31,50|30|50|50|50,12,2,12,0.7863,0.8299,0.0049,0.7289,0.0000,0.0000
from_file,1|1|1|1|-21|0|0|1|1|-31,50|40|50|50|50,12,2,12,0.7958,0.8304,0.0000,0.8727,0.0000,0.0000
from_file,1|1|1|1|-21|0|0|1|1|-31,50|50|50|50|50,12,2,12,0.7960,0.8305,0.0000,0.8730,0.0000,0.0000
from_file,1|1|1|1|-21|0|0|1|1|-31,50|60|50|50|50,12,2,12,0.7960,0.8305,0.0000,0.8730,0.0000,0.0000
from_file,1|1|1|1|-21|0|0|1|1|-31,50|50|50|10|50,12,2,12,0.0080,0.0002,0.0000,0.0000,1.0000,0.0000
from_file,1|1|1|1|-21|0|0|1|1|-31,50|50|50|20|50,12,2,12,0.0745,0.0749,0.0000,0.0000,0.9923,0.0000
from_file,1|1|1|1|-21|0|0|1|1|-31,50|50|50|30|50,12,2,12,0.3714,0.4086,0.0000,0.0000,0.9768,0.0000
from_file,1|1|1|1|-21|0|0|1|1|-31,50|50|50|40|50,12,2,12,0.6324,0.7019,0.0000,0.0000,0.9691,0.0000
from_file,1|1|1|1|-21|0|0|1|1|-31,50|50|50|50|50,12,2,12,0.7960,0.8305,0.0000,0.8730,0.0000,0.0000
from_file,1|1|1|1|-21|0|0|1|1|-31,50|50|50|60|50,12,2,12,0.7960,0.8305,0.0000,0.8730,0.0000,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,10|10|10|10|10,2,2,12,0.8777,0.9858,0.0000,0.0000,0.0000,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,10|10|10|10|10,4,2,12,0.8806,0.9891,0.0000,0.0000,0.0000,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,10|10|10|10|10,8,2,12,0.8812,0.9897,0.0000,0.0000,0.0000,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,10|10|10|10|10,12,2,12,0.8812,0.9898,0.0000,0.0000,0.0000,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,10|10|10|10|10,16,2,12,0.8812,0.9898,0.0000,0.0000,0.0000,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,10|10|10|10|10,20,2,12,0.8812,0.9898,0.0000,0.0000,0.0000,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,20|20|20|20|20,2,2,12,0.8501,0.9515,0.0000,0.0000,0.3711,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,20|20|20|20|20,4,2,12,0.8495,0.9509,0.0000,0.0000,0.3711,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,20|20|20|20|20,8,2,12,0.8494,0.9508,0.0000,0.0000,0.3711,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,20|20|20|20|20,12,2,12,0.8493,0.9507,0.0000,0.0000,0.3711,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,20|20|20|20|20,16,2,12,0.8493,0.9507,0.0000,0.0000,0.3711,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,20|20|20|20|20,20,2,12,0.8493,0.9507,0.0000,0.0000,0.3711,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,30|30|30|30|30,2,2,12,0.6322,0.7032,0.0000,0.0043,0.7577,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,30|30|30|30|30,4,2,12,0.3647,0.3884,0.0000,0.1916,0.8402,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,30|30|30|30|30,8,2,12,0.2370,0.2420,0.0000,0.2326,0.8351,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,30|30|30|30|30,12,2,12,0.2100,0.2109,0.0000,0.2432,0.8247,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,30|30|30|30|30,16,2,12,0.1962,0.1950,0.0000,0.2497,0.8222,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,30|30|30|30|30,20,2,12,0.1941,0.1925,0.0000,0.2509,0.8222,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,40|40|40|40|40,2,2,12,0.7913,0.8839,0.0000,0.0009,0.5541,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,40|40|40|40|40,4,2,12,0.7949,0.8881,0.0000,0.0003,0.5309,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,40|40|40|40|40,8,2,12,0.8046,0.8992,0.0000,0.0000,0.5077,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,40|40|40|40|40,12,2,12,0.8121,0.9077,0.0000,0.0000,0.5077,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,40|40|40|40|40,16,2,12,0.8152,0.9112,0.0000,0.0000,0.5077,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,40|40|40|40|40,20,2,12,0.8183,0.9147,0.0000,0.0000,0.5077,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,50|50|50|50|50,2,2,12,0.3379,0.3526,0.0000,0.2593,0.9201,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,50|50|50|50|50,4,2,12,0.3430,0.3594,0.0000,0.2463,0.9124,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,50|50|50|50|50,8,2,12,0.3517,0.3694,0.0000,0.2416,0.9149,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,50|50|50|50|50,12,2,12,0.3528,0.3707,0.0000,0.2416,0.9149,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,50|50|50|50|50,16,2,12,0.3527,0.3704,0.0000,0.2438,0.9149,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,50|50|50|50|50,20,2,12,0.3532,0.3709,0.0000,0.2438,0.9149,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,60|60|60|60|60,2,2,12,0.6825,0.7596,0.0000,0.0003,0.7938,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,60|60|60|60|60,4,2,12,0.6717,0.7442,0.0000,0.0562,0.7062,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,60|60|60|60|60,8,2,12,0.5257,0.5715,0.0000,0.1584,0.8608,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,60|60|60|60|60,12,2,12,0.4439,0.4746,0.0000,0.2255,0.8686,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,60|60|60|60|60,16,2,12,0.3989,0.4212,0.0000,0.2655,0.8686,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,60|60|60|60|60,20,2,12,0.3618,0.3773,0.0000,0.2947,0.8686,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,70|70|70|70|70,2,2,12,0.3659,0.3878,0.0000,0.2115,0.8943,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,70|70|70|70|70,4,2,12,0.3785,0.4019,0.0000,0.2127,0.8840,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,70|70|70|70|70,8,2,12,0.3579,0.3768,0.0000,0.2366,0.9098,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,70|70|70|70|70,12,2,12,0.3395,0.3567,0.0000,0.2261,0.9227,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,70|70|70|70|70,16,2,12,0.3348,0.3519,0.0000,0.2217,0.9124,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,70|70|70|70|70,20,2,12,0.3375,0.3554,0.0000,0.2149,0.9124,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,80|80|80|80|80,2,2,12,0.3195,0.3309,0.0000,0.2730,0.9201,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,80|80|80|80|80,4,2,12,0.3317,0.3456,0.0000,0.2658,0.8789,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,80|80|80|80|80,8,2,12,0.3613,0.3813,0.0000,0.2342,0.8634,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,80|80|80|80|80,12,2,12,0.3626,0.3830,0.0000,0.2283,0.8660,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,80|80|80|80|80,16,2,12,0.3668,0.3881,0.0000,0.2252,0.8634,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,80|80|80|80|80,20,2,12,0.3803,0.4033,0.0000,0.2233,0.8634,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,90|90|90|90|90,2,2,12,0.4879,0.5379,0.0000,0.0376,0.8402,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,90|90|90|90|90,4,2,12,0.6029,0.6701,0.0000,0.0075,0.7397,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,90|90|90|90|90,8,2,12,0.5433,0.5948,0.0000,0.1047,0.8892,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,90|90|90|90|90,12,2,12,0.5204,0.5655,0.0000,0.1531,0.8943,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,90|90|90|90|90,16,2,12,0.5051,0.5439,0.0000,0.2134,0.9046,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,90|90|90|90|90,20,2,12,0.4701,0.5021,0.0000,0.2450,0.9175,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,100|100|100|100|100,2,2,12,0.3757,0.3966,0.0000,0.2398,0.9098,0.0000
from_file,23|23|30|19|-3|6|6|-31|13|-3,100|100|100|100|100,4,2,12,0.3880,0.4124,0.0000,0.2127,0.9098,0.0000
